Post,Label
Antarctica Doomsday Glacier: ‘We should all be very concerned’ | Climate Crisis News,worldnews
Macron slammed for asking: 'Who could have predicted the climate crisis?',worldnews
"Big oil is behind conspiracy to deceive public, first climate racketeering lawsuit says | Climate crisis",news
"A Carbon Tax Could Solve the Climate Crisis, So Why Isn’t There One?",climate
Skiiers urge sport’s governing body to act over climate crisis and lack of snow,skiing
"Daily reminder that the climate crisis is a hoax and global warming and cooling is caused by changes in solar activity, not CO2. The elites just want to profit off the green movement and starve the plebs",conspiracy
Antarctica Doomsday Glacier: ‘We should all be very concerned’ | Climate Crisis News | Al Jazeera,climate
‘Holy grail’ wheat gene discovery could feed our overheated world | Climate crisis,Futurology
Pope: We must listen to Indigenous Peoples to address climate crisis,environment
Saving water can help us deal with the climate crisis. Here's how to reduce your use,climate
Mikaela Shiffrin leads push for winter sports sustainability amid climate crisis,sports
Will the Climate Crisis Lead to a Wave of Environmental Revolutions?,collapse
"Mainstream media think tank: How do we account for these freezing winter temperatures when we're supposedly in a ""climate crisis"" caused by global warming? -- I know! Let's blame it on the Polar Vortex! See comments.",climateskeptics
"The Heartland Institute sent copies of its book “Climate at a Glance” to 8,000 middle and high school teachers across the country, in order to provide them, it says, with “the data to show the earth is not experiencing a climate crisis.”",environment
Today I asked Labor a question about coal and gas and I got kicked out of Parliament. Doesn’t matter how many times I get booted you can guarantee I won’t stop asking the gov why they are so committed to opening new coal and gas mines in the middle of a climate crisis. - (Max Chandler-Mather),PoliticsDownUnder
"""Who could have predicted the climate crisis ?"": A quote from French president Macron in his new year speech",collapse
John Coleman predicted everything happening today in 1992. He's former MI6 and attended meetings of the Committee of 300. He says it's the Rockefeller Club of Rome behind everything. They want massive depopulation and will use fake climate crisis to create artificial food shortages. Libs will cheer,conspiracy
"I feel that the whole ""climate crisis"" is just a made up problem to take away our liberty.",climateskeptics
Skiiers urge sport’s governing body to act over climate crisis and lack of snow,worldnews
"The entire climate crisis is made up. Michael Mann lost to Tim Ball in court because he no data to back up his fake hockey stick chart. Tim Ball had a shit ton of peer-reviewed data showing it was warmer 1,000 years ago and there's no climate crisis. Today IPCC can't back their charts up either lmao",conspiracy
"‘No chance’ of global heating below 1.5C but nuclear tech ‘promising’ in climate crisis, Bill Gates says | Bill Gates",climate
Why the climate crisis may be coming for your margarita next,environment
Climate activist who blocked traffic on Sydney Harbour Bridge jailed for at least eight months | Climate crisis,worldnews
"'There'd be no climate crisis if it wasn't for racism,' Jane Fonda claims on talk show",Conservative
The [EPA] workers who are supposed to lead the US response to the climate crisis are feeling 'burned out',environment
Why Is the Climate Crisis So Underreported by the Free Press?,climate
"Where Is This ""Climate Crisis"" That Activists Keep Talking About?",climateskeptics
Climate Activists Find a Way to Get Germany’s Attention: Stop Traffic | Extreme tactics have pushed the climate crisis to the top of the public discourse but also stirred debate over whether the activists are going too far.,climate
"The world has already passed 3 of the 9 planetary boundaries that signify climate crisis, despite this, power elites and mega corporations refuse to change the social relations centered around compound accumulation that are destroying the planet. Instead they offer tech solutions that solve nothing.",stupidpol
Climate Denial? Oil Boss David Horgan says there is no climate crisis at the moment.,ireland
"Climate crisis: past eight years were the eight hottest ever, says UN",news
"Australia’s big emitters could cut CO2 by 90% by 2050 without offsets, report finds | Climate crisis",climate
Criticism intensifies after big oil admits ‘gaslighting’ public over green aims | Climate crisis,worldnews
Outlook? Terrifying: TV weather presenters on the hell and horror of the climate crisis | Climate crisis,collapse
"""China is not our enemy, the climate crisis is""Female Protesters Protest Senator Josh Hawley's Foreign Policy",Sino
Pesticide Use and Climate Crisis Locked in 'Vicious Cycle' Backed by Polluting Industries,environment
"Reliance on hi-tech solutions to climate crisis perpetuates racism, says UN official",collapse
Will the Climate Crisis Lead to a Wave of Environmental Revolutions?,climate
"“The Climate Crisis is Burning Chile,” Petro said in a Tweet",climateskeptics
