Description,Label
"In France, a plan to cover swaths of asphalt with photovoltaics will bring renewable energy even closer to urban areas where it’s needed.",renewable energy
"Automaker Stellantis <a href=""https://www.reuters.com/companies/STLA.MI"" target=""_blank"">(STLA.MI)</a> is set to invest in a geothermal energy project in Germany with lithium developer Vulcan Energy Resources <a href=""https://www.reuters.com/companies/VUL.AX""…",renewable energy
"General Electric Co must double its patent royalty payments to Siemens Gamesa Renewable Energy A/S for wind turbines it uses in a renewable energy project off the New Jersey coast, a Boston federal judge said Thursday.",renewable energy
Danish renewable energy developer GreenGo Energy said on Tuesday that it's cooperating on 60 billion Danish crowns ($8.77 billion) project to develop a green energy park.,renewable energy
"The European Union and Ukraine intend to increase cooperation in renewable energy and hydrogen to foster development in the country whose energy system has been severely damaged by Russian attacks, a draft document showed.",renewable energy
"Oil and gas company Camber Energy Inc <a href=""https://www.reuters.com/companies/CEI.A"" target=""_blank"">(CEI.A)</a> said on Monday it was buying a renewable diesel facility located near Reno, Nevada.",renewable energy
"Portuguese renewable energy provider EDP Renovaveis <a href=""https://www.reuters.com/companies/EDPR.LS"" target=""_blank"">(EDPR.LS)</a>, said on Monday it will take legal action against newly created taxes on energy in Poland and Romania.",renewable energy
"Britain's energy regulator Ofgem said on Thursday it planned to fine Delta Gas and Power 100,000 pounds ($123,870) for late payments into a scheme to support renewable energy development, arguing the company acted deliberately.",renewable energy
"The refinery arm of Indonesian state energy firm Pertamina is redesigning its refinery expansion plans to meet shifting demands from a transition towards renewable energy, its chief executive said on Tuesday.",renewable energy
"Coal in the US is now being economically outmatched by renewables to such an extent that it's more expensive for 99% of the country's coal-fired power plants to keep running than it is to build an entirely new solar or wind energy operation nearby, a new anal…",renewable energy
Renewable energy generation depends on wind and solar resources and a low-carbon source of baseload power will be critical to achieving net zero goals.,renewable energy
The World Bank has signed an agreement with four West and Central African nations worth $311 million to fund renewable energy projects.,renewable energy
"Top U.S. renewable power producer NextEra Energy Inc <a href=""https://www.reuters.com/companies/NEE.N"" target=""_blank"">(NEE.N)</a> beat Wall Street estimates for quarterly profit on Wednesday, helped by sustained demand for alternative energy on the back of a…",renewable energy
"General Electric Co <a href=""https://www.reuters.com/companies/GE.N"" target=""_blank"">(GE.N)</a> forecast a lower-than-expected 2023 adjusted profit on Tuesday, as the industrial major struggles persistent problems at its money-losing renewable energy business.",renewable energy
"European coal-fuelled power generation climbed last year as countries scrambled to replace Russian gas, but the increase was smaller than feared as renewable energy helped to plug the gap, researchers said on Tuesday.",renewable energy
"The new chief executive of Petrobras <a href=""https://www.reuters.com/companies/PETR4.SA"" target=""_blank"">(PETR4.SA)</a> told employees the oil company will drive Brazil's transition to renewable energy, while keeping its oil and gas expansion on track.",renewable energy
"U.S. Treasury Secretary Janet Yellen met with local officials in South Africa's coal mining region of Mpumalanga on Friday, pledging America's firm support to ensure the country's transition to renewable energy does not leave them behind.",renewable energy
"India may exempt some solar projects from paying duties on equipment imports, according to government and industry sources, to bring renewable-energy capacity additions back on schedule and lower consumer power tariffs.",renewable energy
"Zambia's state-owned power utility Zesco has signed an agreement with the United Arab Emirates' renewable energy company Masdar to develop solar projects worth $2 billion, the southern African country's President Hakainde Hichilema said on Tuesday.",renewable energy
"South African petrochemical firm Sasol <a href=""https://www.reuters.com/companies/SOLJ.J"" target=""_blank"">(SOLJ.J)</a> said on Tuesday it had signed three wind power purchase deals as it shifts towards renewable energy to meet its carbon emissions targets.",renewable energy
